designator,value,mpn,lcsc,package,easyeda_footprint,kicad_footprint,eco,source,dnp,fix
AMS1117,AMS1117-3.3,AMS1117-3.3,C6186,SOT-223,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,,fab_2026-08-16 BOM,,
C_3V3_B,10uF,CL10A106KP8NNNC,C19702,0603,C0603,,ECO-2#10,fab_2026-08-16 BOM,,
C_3V3_B2,10uF,CL10A106KP8NNNC,C19702,0603,C0603,,ECO-2#10,fab_2026-08-16 BOM,,
C_3V3_H,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
C_3V3_H2,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
C_3V3_IN,1uF,CL05A105KA5NQNC,C52923,0402,C0402,,,fab_2026-08-16 BOM,,
C_3V3_M,1uF,CL05A105KA5NQNC,C52923,0402,C0402,,,fab_2026-08-16 BOM,,
C_3V3_OUT,10uF,CL10A106KP8NNNC,C19702,0603,C0603,,ECO-2#10,fab_2026-08-16 BOM,,
C_AVDD1_100n,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
C_AVDD1_10n,10nF 50V X7R 0402,CL05B103KB5NNNC,C15195,0402,C0402,,,fab_2026-08-16 BOM,,bom-verify
C_AVDD1_10u,10uF,CL10A106KP8NNNC,C19702,0603,C0603,,ECO-2#10,fab_2026-08-16 BOM,,
C_AVDD1_1u,1uF,CL05A105KA5NQNC,C52923,0402,C0402,,,fab_2026-08-16 BOM,,
C_AVDD_B,10uF,CL10A106KP8NNNC,C19702,0603,C0603,,ECO-2#10,fab_2026-08-16 BOM,,
C_AVDD_H,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
C_AVDD_P19,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
C_AVDD_P3,100nF,CL05B104KO5NNNC,C1525,0402,C0402,,,fab_2026-08-16 BOM,,
