Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Qty
100nF,"C_3V3_H,C_3V3_H2,C_AVDD1_100n,C_AVDD_H,C_AVDD_P3,C_AVDD_P19,C_AVDD_P31,C_AVDD_P36,C_AVDD_P59,C_AVDD_P64,C_AVSS_H,C_AVSS_P17,C_AVSS_P30,C_AVSS_P37,C_AVSS_P60,C_DVDD_H,C_DVDD_P40,C_DVDD_P58,C_HF,C_RST_DLY,C_USB5V_H,C_USB_V3,C_USB_VCC,C_VCAP1_H,C_VCAP3_H,C_VREFP_100n",C0402,C1525,CL05B104KO5NNNC,Samsung,26
1nF,"C_CM1N,C_CM1P,C_CM2N,C_CM2P,C_CM3N,C_CM3P,C_CM4N,C_CM4P,C_CM5N,C_CM5P,C_CM6N,C_CM6P,C_CM7N,C_CM7P,C_CM8N,C_CM8P",C0603,C1588,CL10B102KB8NNNC,Samsung,16
10k,"R_IN1N,R_IN1P,R_IN2N,R_IN2P,R_IN3N,R_IN3P,R_IN4N,R_IN4P,R_IN5N,R_IN5P,R_IN6N,R_IN6P,R_IN7N,R_IN7P,R_IN8N,R_IN8P",R0402,C25744,0402WGF1002TCE,UNI-ROYAL,16
10uF,"C_3V3_B,C_3V3_B2,C_3V3_OUT,C_AVDD1_10u,C_AVDD_B,C_AVSS_B,C_BULK,C_DVDD_10u,C_DVDD_B,C_LM_FLY,C_LM_OUT,C_USB5V_B",C0603,C19702,CL10A106KP8NNNC,Samsung,12
1uF,"C_3V3_IN,C_3V3_M,C_AVDD1_1u,C_EN_DLY,C_LM_IN,C_NLDO_IN,C_PLDO_IN,C_PLDO_OUT,C_VCAP2,C_VCAP3,C_VCAP4",C0402,C52923,CL05A105KA5NQNC,Samsung,11
10k,"R_CS_UP,R_DRDY_UP,R_EN_UP,R_IO0_UP,R_IO2_DN,R_PWDN_UP,R_Q_EN_B,R_Q_IO0_B,R_START_DN",R0603,C25804,0603WAF1002T5E,UNI-ROYAL,9
10nF_NP0_50V,"C_DIF1,C_DIF2,C_DIF3,C_DIF4,C_DIF5,C_DIF6,C_DIF7,C_DIF8",C0805,C237168,0805N103J500CT,Fenghua,8
600R@100MHz 0805,"FB1,FB2,FB3,FB4,FB5",L0805,C1017,GZ2012D601TF,Sunlord,5
0R,"R_MISO,R_MOSI,R_SCLK,R_SRB_SER",R0805,C17477,0805W8F0000T5E,UNI-ROYAL,4
10nF 50V X7R 0402,"C_AVDD1_10n,C_NR,C_VREFP_10n",C0402,C15195,CL05B103KB5NNNC,Samsung,3
1M,"R_BIAS_FB,R_BIAS_SER",R0805,C17514,0805W8F1004T5E,UNI-ROYAL,2
S8050,"Q_EN,Q_IO0",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C2146,S8050 J3Y(RANGE:200-350),Jiangsu Changjing,2
5.1k,"R_CC1,R_CC2",R0603,C23186,0603WAF5101T5E,UNI-ROYAL,2
LM2664,LM2664,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C108573,LM2664M6X/NOPB,Texas Instruments,1
2.2uF,C_NLDO_OUT,C0402,C12530,CL05A225MQ5NSNC,Samsung,1
10uF 50V X5R 1206,C_VREFP_10u,C_1206_3216Metric,C13585,CL31A106KBHNNNE,Samsung,1
100uF,C_VCAP1,C_1206_3216Metric,C15008,CL31A107MQHNNNE,Samsung,1
TLV70025,TLV70025,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C19619,TLV70025DDCR,Texas Instruments,1
330R,R_LED,R0603,C23138,0603WAF3300T5E,UNI-ROYAL,1
1.5nF 50V X7R 0402,C_BIAS_INV,C0402,C23967,CL05B152KB5NNNC,Samsung,1
USB-C_16P,J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,1
Header_2x6,J2,HDR-TH_12P-P2.54-V-M,C2840012,PZ254V-11-12P,Ckmtw,1
PTC_500mA,F1,F1206,C369159,JK-NSMD050-13.2V,Jinrui,1
ADS1299,U_ADS,TQFP-64_L10.0-W10.0-P0.50-LS12.0-TL,C476817,ADS1299IPAGR,Texas Instruments,1
AMS1117-3.3,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,AMS1117-3.3,AMS,1
TPS72325,TPS72325,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C69932,TPS72325DBVR,Texas Instruments,1
ESP32-WROOM-32E-N4,U_MCU,WIFI-SMD_ESP32-WROOM-32E,C701341,ESP32-WROOM-32E-N4,Espressif,1
LED red 0603 Vf1.95V,D_LED,LED0603-RD,C72044,19-217/R6C-AL1M2VY/3T,Everlight,1
USBLC6-2SC6,D_ESD,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,USBLC6-2SC6,STMicroelectronics,1
CH340C,U_USB,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,C84681,CH340C,WCH,1
