Designator,Mid X,Mid Y,Layer,Rotation
AMS1117,176.844000,-121.229500,Top,0.000000
C_3V3_B,155.763000,-112.004000,Top,90.000000
C_3V3_B2,162.164000,-121.148000,Top,90.000000
C_3V3_H,155.661500,-114.594000,Top,90.000000
C_3V3_H2,160.386000,-121.148000,Top,90.000000
C_3V3_IN,164.958000,-121.148000,Top,90.000000
C_3V3_M,156.195000,-108.448000,Top,90.000000
C_3V3_OUT,163.180000,-121.148000,Top,90.000000
C_AVDD1_1u,146.416000,-92.700000,Top,0.000000
C_AVDD1_10n,150.988000,-92.700000,Top,0.000000
C_AVDD1_10u,144.130000,-92.700000,Top,0.000000
C_AVDD1_100n,148.702000,-92.700000,Top,0.000000
C_AVDD_B,144.130000,-115.560000,Top,90.000000
C_AVDD_H,145.908000,-115.560000,Top,90.000000
C_AVDD_P3,140.701000,-110.480000,Top,0.000000
C_AVDD_P19,142.580500,-110.480000,Top,0.000000
C_AVDD_P31,144.460000,-110.480000,Top,0.000000
C_AVDD_P36,144.460000,-112.766000,Top,180.000000
C_AVDD_P59,141.996500,-92.700000,Top,90.000000
C_AVDD_P64,140.523000,-92.700000,Top,90.000000
C_AVSS_B,149.360000,-116.068000,Top,-90.000000
C_AVSS_H,148.448000,-115.560000,Top,90.000000
C_AVSS_P17,140.701000,-112.766000,Top,0.000000
C_AVSS_P30,142.580500,-112.766000,Top,0.000000
C_AVSS_P37,146.340000,-112.766000,Top,0.000000
C_AVSS_P60,153.147000,-112.766000,Top,0.000000
C_BIAS_INV,142.860000,-90.414000,Top,180.000000
C_BULK,151.750000,-122.672000,Top,90.000000
C_CM1N,134.224000,-112.131000,Top,0.000000
C_CM1P,134.427000,-113.629500,Top,0.000000
C_CM2N,134.224000,-109.134000,Top,0.000000
C_CM2P,134.427000,-110.632500,Top,0.000000
C_CM3N,134.224000,-106.136500,Top,0.000000
C_CM3P,134.427000,-107.635000,Top,0.000000
C_CM4N,134.224000,-103.139500,Top,0.000000
C_CM4P,134.427000,-104.638000,Top,0.000000
C_CM5N,134.224000,-100.142000,Top,0.000000
C_CM5P,134.427000,-101.641000,Top,0.000000
C_CM6N,134.224000,-97.145000,Top,0.000000
C_CM6P,134.427000,-98.643500,Top,0.000000
C_CM7N,134.224000,-94.148000,Top,0.000000
C_CM7P,134.427000,-95.646500,Top,0.000000
C_CM8N,134.224000,-91.150500,Top,0.000000
C_CM8P,134.427000,-92.649000,Top,0.000000
C_DIF1,131.430000,-113.096000,Top,0.000000
C_DIF2,131.430000,-110.099000,Top,0.000000
C_DIF3,131.430000,-107.102000,Top,0.000000
C_DIF4,131.430000,-104.104500,Top,0.000000
C_DIF5,131.430000,-101.107500,Top,0.000000
C_DIF6,131.430000,-98.110000,Top,0.000000
C_DIF7,131.430000,-95.113000,Top,0.000000
C_DIF8,131.430000,-92.116000,Top,0.000000
C_DVDD_10u,149.718000,-87.366000,Top,-90.000000
C_DVDD_B,151.750000,-87.366000,Top,-90.000000
C_DVDD_H,147.686000,-87.366000,Top,-90.000000
C_DVDD_P40,149.718000,-89.906000,Top,90.000000
C_DVDD_P58,146.162000,-87.874000,Top,90.000000
C_EN_DLY,159.116000,-109.464000,Top,-90.000000
C_HF,155.560000,-122.672000,Top,90.000000
C_LM_FLY,147.178000,-121.656000,Top,90.000000
C_LM_IN,147.686000,-123.561000,Top,0.000000
C_LM_OUT,148.956000,-121.656000,Top,90.000000
C_NLDO_IN,148.448000,-118.862000,Top,90.000000
C_NLDO_OUT,156.068000,-118.862000,Top,90.000000
C_NR,156.576000,-114.290000,Top,90.000000
C_PLDO_IN,142.352000,-115.560000,Top,90.000000
C_PLDO_OUT,147.686000,-115.560000,Top,90.000000
C_RST_DLY,147.586000,-83.048000,Top,90.000000
C_USB5V_B,176.134000,-99.304000,Top,90.000000
C_USB5V_H,176.134000,-96.510000,Top,90.000000
C_USB_V3,171.308000,-114.798000,Top,90.000000
C_USB_VCC,171.308000,-112.512000,Top,90.000000
C_VCAP1,152.258000,-115.052000,Top,90.000000
C_VCAP1_H,147.912000,-109.426000,Top,-90.000000
C_VCAP2,149.166000,-109.172000,Top,0.000000
C_VCAP3,146.412000,-94.448000,Top,180.000000
C_VCAP3_H,144.118000,-94.262000,Top,90.000000
C_VCAP4,146.912000,-109.426000,Top,-90.000000
C_VREFP_10n,146.390000,-110.580000,Top,0.000000
C_VREFP_10u,150.937000,-110.226000,Top,90.000000
C_VREFP_100n,148.219500,-110.480000,Top,0.000000
D_ESD,177.404000,-103.622000,Top,0.000000
D_LED,177.912000,-87.620000,Top,0.000000
F1,177.912000,-99.304000,Top,90.000000
FB1,140.066000,-120.640000,Top,0.000000
FB2,140.066000,-118.608000,Top,0.000000
FB3,166.990000,-121.148000,Top,90.000000
FB4,140.066000,-122.672000,Top,0.000000
FB5,149.210000,-85.080000,Top,0.000000
J1,178.166000,-110.988000,Top,90.000000
J2,123.556000,-101.234500,Top,90.000000
LM2664,144.130000,-122.418000,Top,0.000000
Q_EN,161.275000,-109.464000,Top,0.000000
Q_IO0,166.101000,-109.464000,Top,0.000000
R_BIAS_FB,146.670000,-90.414000,Top,0.000000
R_BIAS_SER,128.636000,-87.264500,Top,180.000000
R_CC1,173.400000,-113.900000,Top,180.000000
R_CC2,173.340000,-110.226000,Top,0.000000
R_CS_UP,146.162000,-83.048000,Top,90.000000
R_DRDY_UP,149.210000,-83.048000,Top,90.000000
R_EN_UP,157.846000,-109.464000,Top,90.000000
R_IN1N,128.636000,-112.131000,Top,0.000000
R_IN1P,128.636000,-113.629500,Top,0.000000
R_IN2N,128.636000,-109.134000,Top,0.000000
R_IN2P,128.636000,-110.632500,Top,0.000000
R_IN3N,128.636000,-106.136500,Top,0.000000
