Ref,Val,Package,PosX,PosY,Rot,Side
"AMS1117","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",176.844000,-121.229500,0.000000,top
"C_3V3_B","10uF","C0603",155.763000,-112.004000,90.000000,top
"C_3V3_B2","10uF","C0603",162.164000,-121.148000,90.000000,top
"C_3V3_H","100nF","C0402",155.661500,-114.594000,90.000000,top
"C_3V3_H2","100nF","C0402",160.386000,-121.148000,90.000000,top
"C_3V3_IN","1uF","C0402",164.958000,-121.148000,90.000000,top
"C_3V3_M","1uF","C0402",156.195000,-108.448000,90.000000,top
"C_3V3_OUT","10uF","C0603",163.180000,-121.148000,90.000000,top
"C_AVDD1_1u","1uF","C0402",146.416000,-92.700000,0.000000,top
"C_AVDD1_10n","10nF 50V X7R 0402","C0402",150.988000,-92.700000,0.000000,top
"C_AVDD1_10u","10uF","C0603",144.130000,-92.700000,0.000000,top
"C_AVDD1_100n","100nF","C0402",148.702000,-92.700000,0.000000,top
"C_AVDD_B","10uF","C0603",144.130000,-115.560000,90.000000,top
"C_AVDD_H","100nF","C0402",145.908000,-115.560000,90.000000,top
"C_AVDD_P3","100nF","C0402",140.701000,-110.480000,0.000000,top
"C_AVDD_P19","100nF","C0402",142.580500,-110.480000,0.000000,top
"C_AVDD_P31","100nF","C0402",144.460000,-110.480000,0.000000,top
"C_AVDD_P36","100nF","C0402",144.460000,-112.766000,180.000000,top
"C_AVDD_P59","100nF","C0402",141.996500,-92.700000,90.000000,top
"C_AVDD_P64","100nF","C0402",140.523000,-92.700000,90.000000,top
"C_AVSS_B","10uF","C0603",149.360000,-116.068000,-90.000000,top
"C_AVSS_H","100nF","C0402",148.448000,-115.560000,90.000000,top
"C_AVSS_P17","100nF","C0402",140.701000,-112.766000,0.000000,top
"C_AVSS_P30","100nF","C0402",142.580500,-112.766000,0.000000,top
"C_AVSS_P37","100nF","C0402",146.340000,-112.766000,0.000000,top
"C_AVSS_P60","100nF","C0402",153.147000,-112.766000,0.000000,top
"C_BIAS_INV","1.5nF 50V X7R 0402","C0402",142.860000,-90.414000,180.000000,top
"C_BULK","10uF","C0603",151.750000,-122.672000,90.000000,top
"C_CM1N","1nF","C0603",134.224000,-112.131000,0.000000,top
"C_CM1P","1nF","C0603",134.427000,-113.629500,0.000000,top
"C_CM2N","1nF","C0603",134.224000,-109.134000,0.000000,top
"C_CM2P","1nF","C0603",134.427000,-110.632500,0.000000,top
"C_CM3N","1nF","C0603",134.224000,-106.136500,0.000000,top
"C_CM3P","1nF","C0603",134.427000,-107.635000,0.000000,top
"C_CM4N","1nF","C0603",134.224000,-103.139500,0.000000,top
"C_CM4P","1nF","C0603",134.427000,-104.638000,0.000000,top
"C_CM5N","1nF","C0603",134.224000,-100.142000,0.000000,top
"C_CM5P","1nF","C0603",134.427000,-101.641000,0.000000,top
"C_CM6N","1nF","C0603",134.224000,-97.145000,0.000000,top
"C_CM6P","1nF","C0603",134.427000,-98.643500,0.000000,top
"C_CM7N","1nF","C0603",134.224000,-94.148000,0.000000,top
"C_CM7P","1nF","C0603",134.427000,-95.646500,0.000000,top
"C_CM8N","1nF","C0603",134.224000,-91.150500,0.000000,top
"C_CM8P","1nF","C0603",134.427000,-92.649000,0.000000,top
"C_DIF1","10nF_NP0_50V","C0805",131.430000,-113.096000,0.000000,top
"C_DIF2","10nF_NP0_50V","C0805",131.430000,-110.099000,0.000000,top
"C_DIF3","10nF_NP0_50V","C0805",131.430000,-107.102000,0.000000,top
"C_DIF4","10nF_NP0_50V","C0805",131.430000,-104.104500,0.000000,top
"C_DIF5","10nF_NP0_50V","C0805",131.430000,-101.107500,0.000000,top
"C_DIF6","10nF_NP0_50V","C0805",131.430000,-98.110000,0.000000,top
"C_DIF7","10nF_NP0_50V","C0805",131.430000,-95.113000,0.000000,top
"C_DIF8","10nF_NP0_50V","C0805",131.430000,-92.116000,0.000000,top
"C_DVDD_10u","10uF","C0603",149.718000,-87.366000,-90.000000,top
"C_DVDD_B","10uF","C0603",151.750000,-87.366000,-90.000000,top
"C_DVDD_H","100nF","C0402",147.686000,-87.366000,-90.000000,top
"C_DVDD_P40","100nF","C0402",149.718000,-89.906000,90.000000,top
"C_DVDD_P58","100nF","C0402",146.162000,-87.874000,90.000000,top
"C_EN_DLY","1uF 0402","C0402",159.116000,-109.464000,-90.000000,top
"C_HF","100nF","C0402",155.560000,-122.672000,90.000000,top
"C_LM_FLY","10uF","C0603",147.178000,-121.656000,90.000000,top
"C_LM_IN","1uF","C0402",147.686000,-123.561000,0.000000,top
"C_LM_OUT","10uF","C0603",148.956000,-121.656000,90.000000,top
"C_NLDO_IN","1uF","C0402",148.448000,-118.862000,90.000000,top
"C_NLDO_OUT","2.2uF","C0402",156.068000,-118.862000,90.000000,top
"C_NR","10nF","C0402",156.576000,-114.290000,90.000000,top
"C_PLDO_IN","1uF","C0402",142.352000,-115.560000,90.000000,top
"C_PLDO_OUT","1uF","C0402",147.686000,-115.560000,90.000000,top
"C_RST_DLY","100nF","C0402",147.586000,-83.048000,90.000000,top
"C_USB5V_B","10uF","C0603",176.134000,-99.304000,90.000000,top
"C_USB5V_H","100nF","C0402",176.134000,-96.510000,90.000000,top
"C_USB_V3","100nF","C0402",171.308000,-114.798000,90.000000,top
"C_USB_VCC","100nF","C0402",171.308000,-112.512000,90.000000,top
"C_VCAP1","100uF","C_1206_3216Metric",152.258000,-115.052000,90.000000,top
"C_VCAP1_H","100nF","C0402",147.912000,-109.426000,-90.000000,top
"C_VCAP2","1uF","C0402",149.166000,-109.172000,0.000000,top
"C_VCAP3","1uF","C0402",144.118000,-94.262000,90.000000,top
"C_VCAP3_H","100nF","C0402",146.412000,-94.448000,180.000000,top
"C_VCAP4","1uF","C0402",148.448000,-112.766000,0.000000,top
"C_VREFP_10n","10nF 50V X7R 0402","C0402",146.390000,-110.480000,0.000000,top
"C_VREFP_10u","10uF 50V X5R 1206","C_1206_3216Metric",150.937000,-110.226000,90.000000,top
"C_VREFP_100n","100nF","C0402",148.219500,-110.480000,0.000000,top
"D_ESD","USBLC6-2SC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",177.404000,-103.622000,0.000000,top
"D_LED","LED yellow 0603 Vf1.6-2.6V","LED0603-RD",177.912000,-87.620000,0.000000,top
"F1","PTC 0.5A hold / 1A trip / 13.2V 1206","F1206",177.912000,-99.304000,90.000000,top
"FB1","600R@100MHz 0805","L0805",140.066000,-120.640000,0.000000,top
"FB2","600R@100MHz 0805","L0805",140.066000,-118.608000,0.000000,top
"FB3","600R@100MHz 0805","L0805",166.990000,-121.148000,90.000000,top
"FB4","600R@100MHz 0805","L0805",140.066000,-122.672000,0.000000,top
"FB5","600R@100MHz 0805","L0805",149.210000,-85.080000,0.000000,top
"J1","USB-C_16P","USB-C-SMD_TYPE-C-6PIN-2MD-073",178.166000,-110.988000,90.000000,top
"J2","Header_2x6","HDR-TH_12P-P2.54-V-M",123.556000,-101.234500,90.000000,top
"LM2664","LM2664","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",144.130000,-122.418000,0.000000,top
"Q_EN","S8050","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR",161.275000,-109.464000,0.000000,top
"Q_IO0","S8050","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR",166.101000,-109.464000,0.000000,top
"R_BIAS_FB","1M","R0805",146.670000,-90.414000,0.000000,top
"R_BIAS_SER","1M","R0805",128.636000,-87.264500,180.000000,top
"R_CC1","5.1k","R0603",178.166000,-109.464000,90.000000,top
"R_CC2","5.1k","R0603",173.340000,-110.226000,0.000000,top
"R_CS_UP","10k","R0603",146.162000,-83.048000,90.000000,top
"R_DRDY_UP","10k","R0603",149.210000,-83.048000,90.000000,top
"R_EN_UP","10k","R0603",157.846000,-109.464000,90.000000,top
"R_IN1N","10k","R0402",128.636000,-112.131000,0.000000,top
"R_IN1P","10k","R0402",128.636000,-113.629500,0.000000,top
"R_IN2N","10k","R0402",128.636000,-109.134000,0.000000,top
"R_IN2P","10k","R0402",128.636000,-110.632500,0.000000,top
"R_IN3N","10k","R0402",128.636000,-106.136500,0.000000,top
"R_IN3P","10k","R0402",128.636000,-107.635000,0.000000,top
"R_IN4N","10k","R0402",128.636000,-103.139500,0.000000,top
"R_IN4P","10k","R0402",128.636000,-104.638000,0.000000,top
"R_IN5N","10k","R0402",128.636000,-100.142000,0.000000,top
"R_IN5P","10k","R0402",128.636000,-101.641000,0.000000,top
"R_IN6N","10k","R0402",128.636000,-97.145000,0.000000,top
"R_IN6P","10k","R0402",128.636000,-98.643500,0.000000,top
"R_IN7N","10k","R0402",128.636000,-94.148000,0.000000,top
"R_IN7P","10k","R0402",128.636000,-95.646500,0.000000,top
"R_IN8N","10k","R0402",128.636000,-91.150500,0.000000,top
"R_IN8P","10k","R0402",128.636000,-92.649000,0.000000,top
"R_IO0_UP","10k","R0603",174.610000,-85.588000,-90.000000,top
"R_IO2_DN","10k","R0603",175.372000,-91.811000,0.000000,top
"R_LED","330R","R0603",177.912000,-89.652000,0.000000,top
"R_MISO","0R","R0805",166.888500,-84.826000,0.000000,top
"R_MOSI","0R","R0805",154.239000,-108.956000,-90.000000,top
"R_PWDN_UP","10k","R0603",152.258000,-83.048000,90.000000,top
"R_Q_EN_B","10k","R0603",163.942000,-109.464000,90.000000,top
"R_Q_IO0_B","10k","R0603",168.768000,-109.464000,90.000000,top
"R_SCLK","0R","R0805",170.698500,-84.826000,0.000000,top
"R_SRB_SER","0R","R0805",128.636000,-89.144000,180.000000,top
"R_START_DN","10k","R0603",171.308000,-109.464000,-90.000000,top
"TLV70025","TLV70025","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",144.130000,-118.862000,0.000000,top
"TPS72325","TPS72325","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",151.750000,-118.862000,0.000000,top
"U_ADS","ADS1299","TQFP-64_L10.0-W10.0-P0.50-LS12.0-TL",146.162000,-102.098000,0.000000,top
"U_MCU","ESP32-WROOM-32E-N4","WIFI-SMD_ESP32-WROOM-32E",164.958000,-97.526000,0.000000,top
"U_USB","CH340C","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",162.164000,-115.052000,0.000000,top
